iter	RMSE
0	1452.075205
1	1390.642079
2	1311.065015
3	1250.766796
4	1192.979427
5	1127.637283
6	1068.321484
7	1012.996276
8	972.0317907
9	936.3428104
10	894.3271146
11	871.3250176
12	842.423556
13	813.5730415
14	790.1129033
15	768.592094
16	747.4970044
17	726.0103818
18	708.3801171
19	687.0273937
20	675.1879773
21	659.8909963
22	639.2473839
23	625.1870281
24	609.8219427
25	592.6253894
26	582.276394
27	569.510728
28	559.6729404
29	551.0584109
30	543.7167202
31	537.9034816
32	527.0899938
33	519.4078454
34	511.7934127
35	505.8312395
36	495.7184588
37	488.6015898
38	480.6110857
39	472.5515447
40	468.4322033
41	461.9067002
42	457.1050571
43	449.5913641
44	445.0705524
45	441.4708111
46	435.8493279
47	431.9604375
48	425.1282265
49	421.6321448
50	416.5106624
51	414.5160891
52	411.7671598
53	407.099316
54	404.4256428
55	400.2493219
56	396.4496716
57	392.8982536
58	389.8296239
59	386.6648854
60	384.0315322
61	380.6122493
62	377.0141851
63	372.8594612
64	369.4399173
65	366.6776563
66	364.8092733
67	362.7734916
68	361.1452114
69	359.0056788
70	356.5207499
71	353.9868483
72	351.4635288
73	347.7265852
74	344.4565115
75	341.963444
76	339.9014945
77	335.7658926
78	333.9399482
79	332.5464757
80	330.6200331
81	327.5744384
82	326.1775178
83	324.0830505
84	322.2061797
85	320.7810482
86	319.0895817
87	316.7756536
88	313.8720893
89	310.5579496
90	308.7519738
91	304.8982732
92	303.2752525
93	301.1461755
94	298.759427
95	297.2635209
96	294.9951663
97	291.9075432
98	289.7592154
99	286.9905611
