iter	Passed	Remaining
0	13	1327
1	25	1226
2	38	1253
3	52	1250
4	64	1229
5	75	1189
6	88	1174
7	101	1171
8	116	1173
9	129	1163
10	141	1145
11	154	1135
12	167	1122
13	182	1120
14	195	1107
15	207	1088
16	219	1069
17	232	1057
18	246	1049
19	257	1029
20	270	1015
21	283	1004
22	295	990
23	308	976
24	321	964
25	334	953
26	348	941
27	362	931
28	374	916
29	386	902
30	399	888
31	411	875
32	424	862
33	436	847
34	450	836
35	463	824
36	477	812
37	490	800
38	502	785
39	516	774
40	531	765
41	544	751
42	557	738
43	568	724
44	582	711
45	595	698
46	608	685
47	619	671
48	631	657
49	645	645
50	657	631
51	668	617
52	681	604
53	694	591
54	708	579
55	720	566
56	732	552
57	746	540
58	759	527
59	772	515
60	786	502
61	798	489
62	811	476
63	825	464
64	842	453
65	856	441
66	871	429
67	885	416
68	898	403
69	916	392
70	929	379
71	945	367
72	958	354
73	970	341
74	982	327
75	994	314
76	1007	300
77	1019	287
78	1031	274
79	1042	260
80	1053	247
81	1066	234
82	1076	220
83	1088	207
84	1100	194
85	1112	181
86	1124	167
87	1136	154
88	1148	141
89	1160	128
90	1172	115
91	1184	103
92	1197	90
93	1208	77
94	1220	64
95	1232	51
96	1245	38
97	1256	25
98	1269	12
99	1281	0
