YEAR,STATE,STATE ANSI,COMMODITY,DATA ITEM,METRIC,VALUE
2022,ALABAMA,1,WHEAT, ACRES HARVESTED,ACRE,120000
2022,ALABAMA,1,WHEAT, ACRES PLANTED,ACRE,180000
2022,ALABAMA,1,WHEAT, YIELD, MEASURED IN BU / ACRE,72
2022,ARIZONA,4,WHEAT, ACRES HARVESTED,ACRE,84000
2022,ARIZONA,4,WHEAT, ACRES PLANTED,ACRE,85000
2022,ARIZONA,4,WHEAT, YIELD, MEASURED IN BU / ACRE,114
2022,ARKANSAS,5,WHEAT, ACRES HARVESTED,ACRE,150000
2022,ARKANSAS,5,WHEAT, ACRES PLANTED,ACRE,220000
2022,ARKANSAS,5,WHEAT, YIELD, MEASURED IN BU / ACRE,53
2022,CALIFORNIA,6,WHEAT, ACRES HARVESTED,ACRE,105000
2022,CALIFORNIA,6,WHEAT, ACRES PLANTED,ACRE,390000
2022,CALIFORNIA,6,WHEAT, YIELD, MEASURED IN BU / ACRE,85.3
2022,COLORADO,8,WHEAT, ACRES HARVESTED,ACRE,1430000
2022,COLORADO,8,WHEAT, ACRES PLANTED,ACRE,1950000
2022,COLORADO,8,WHEAT, YIELD, MEASURED IN BU / ACRE,25
2022,DELAWARE,10,WHEAT, ACRES HARVESTED,ACRE,54000
2022,DELAWARE,10,WHEAT, ACRES PLANTED,ACRE,80000
2022,DELAWARE,10,WHEAT, YIELD, MEASURED IN BU / ACRE,76
2022,GEORGIA,13,WHEAT, ACRES HARVESTED,ACRE,100000
2022,GEORGIA,13,WHEAT, ACRES PLANTED,ACRE,200000
2022,GEORGIA,13,WHEAT, YIELD, MEASURED IN BU / ACRE,58
2022,IDAHO,16,WHEAT, ACRES HARVESTED,ACRE,1077000
2022,IDAHO,16,WHEAT, ACRES PLANTED,ACRE,1157000
2022,IDAHO,16,WHEAT, YIELD, MEASURED IN BU / ACRE,86.8
2022,ILLINOIS,17,WHEAT, ACRES HARVESTED,ACRE,560000
2022,ILLINOIS,17,WHEAT, ACRES PLANTED,ACRE,650000
2022,ILLINOIS,17,WHEAT, YIELD, MEASURED IN BU / ACRE,79
2022,INDIANA,18,WHEAT, ACRES HARVESTED,ACRE,240000
2022,INDIANA,18,WHEAT, ACRES PLANTED,ACRE,290000
2022,INDIANA,18,WHEAT, YIELD, MEASURED IN BU / ACRE,81
2022,KANSAS,20,WHEAT, ACRES HARVESTED,ACRE,6600000
2022,KANSAS,20,WHEAT, ACRES PLANTED,ACRE,7300000
2022,KANSAS,20,WHEAT, YIELD, MEASURED IN BU / ACRE,37
2022,KENTUCKY,21,WHEAT, ACRES HARVESTED,ACRE,375000
2022,KENTUCKY,21,WHEAT, ACRES PLANTED,ACRE,530000
2022,KENTUCKY,21,WHEAT, YIELD, MEASURED IN BU / ACRE,80
2022,MARYLAND,24,WHEAT, ACRES HARVESTED,ACRE,170000
2022,MARYLAND,24,WHEAT, ACRES PLANTED,ACRE,355000
2022,MARYLAND,24,WHEAT, YIELD, MEASURED IN BU / ACRE,78
2022,MICHIGAN,26,WHEAT, ACRES HARVESTED,ACRE,415000
2022,MICHIGAN,26,WHEAT, ACRES PLANTED,ACRE,460000
2022,MICHIGAN,26,WHEAT, YIELD, MEASURED IN BU / ACRE,83
2022,MINNESOTA,27,WHEAT, ACRES HARVESTED,ACRE,1210000
2022,MINNESOTA,27,WHEAT, ACRES PLANTED,ACRE,1250000
2022,MINNESOTA,27,WHEAT, YIELD, MEASURED IN BU / ACRE,61
2022,MISSISSIPPI,28,WHEAT, ACRES HARVESTED,ACRE,75000
2022,MISSISSIPPI,28,WHEAT, ACRES PLANTED,ACRE,100000
2022,MISSISSIPPI,28,WHEAT, YIELD, MEASURED IN BU / ACRE,52
2022,MISSOURI,29,WHEAT, ACRES HARVESTED,ACRE,410000
2022,MISSOURI,29,WHEAT, ACRES PLANTED,ACRE,630000
2022,MISSOURI,29,WHEAT, YIELD, MEASURED IN BU / ACRE,60
2022,MONTANA,30,WHEAT, ACRES HARVESTED,ACRE,4915000
2022,MONTANA,30,WHEAT, ACRES PLANTED,ACRE,5460000
2022,MONTANA,30,WHEAT, YIELD, MEASURED IN BU / ACRE,28.3
2022,NEBRASKA,31,WHEAT, ACRES HARVESTED,ACRE,820000
2022,NEBRASKA,31,WHEAT, ACRES PLANTED,ACRE,980000
2022,NEBRASKA,31,WHEAT, YIELD, MEASURED IN BU / ACRE,32
2022,NEW JERSEY,34,WHEAT, ACRES HARVESTED,ACRE,22000
2022,NEW JERSEY,34,WHEAT, ACRES PLANTED,ACRE,26000
2022,NEW JERSEY,34,WHEAT, YIELD, MEASURED IN BU / ACRE,70
2022,NEW MEXICO,35,WHEAT, ACRES HARVESTED,ACRE,90000
2022,NEW MEXICO,35,WHEAT, ACRES PLANTED,ACRE,360000
2022,NEW MEXICO,35,WHEAT, YIELD, MEASURED IN BU / ACRE,17
2022,NEW YORK,36,WHEAT, ACRES HARVESTED,ACRE,100000
2022,NEW YORK,36,WHEAT, ACRES PLANTED,ACRE,140000
2022,NEW YORK,36,WHEAT, YIELD, MEASURED IN BU / ACRE,72
2022,NORTH CAROLINA,37,WHEAT, ACRES HARVESTED,ACRE,375000
2022,NORTH CAROLINA,37,WHEAT, ACRES PLANTED,ACRE,480000
2022,NORTH CAROLINA,37,WHEAT, YIELD, MEASURED IN BU / ACRE,64
2022,NORTH DAKOTA,38,WHEAT, ACRES HARVESTED,ACRE,6135000
