YEAR,STATE,COMMODITY,DATA ITEM,METRIC,VALUE
2022,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1084000
2022,ARKANSAS,RICE, ACRES PLANTED,ACRE,1106000
2022,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7410
2022,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,254000
2022,CALIFORNIA,RICE, ACRES PLANTED,ACRE,256000
2022,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8760
2022,LOUISIANA,RICE, ACRES HARVESTED,ACRE,415000
2022,LOUISIANA,RICE, ACRES PLANTED,ACRE,425000
2022,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6660
2022,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,84000
2022,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,85000
2022,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7370
2022,MISSOURI,RICE, ACRES HARVESTED,ACRE,149000
2022,MISSOURI,RICE, ACRES PLANTED,ACRE,155000
2022,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7940
2022,TEXAS,RICE, ACRES HARVESTED,ACRE,186000
2022,TEXAS,RICE, ACRES PLANTED,ACRE,195000
2022,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,6510
2021,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1193000
2021,ARKANSAS,RICE, ACRES PLANTED,ACRE,1211000
2021,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7630
2021,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,405000
2021,CALIFORNIA,RICE, ACRES PLANTED,ACRE,407000
2021,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,9050
2021,LOUISIANA,RICE, ACRES HARVESTED,ACRE,413000
2021,LOUISIANA,RICE, ACRES PLANTED,ACRE,420000
2021,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6870
2021,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,99000
2021,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,105000
2021,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7540
2021,MISSOURI,RICE, ACRES HARVESTED,ACRE,194000
2021,MISSOURI,RICE, ACRES PLANTED,ACRE,199000
2021,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,8040
2021,TEXAS,RICE, ACRES HARVESTED,ACRE,181000
2021,TEXAS,RICE, ACRES PLANTED,ACRE,190000
2021,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,6860
2020,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1441000
2020,ARKANSAS,RICE, ACRES PLANTED,ACRE,1461000
2020,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7500
2020,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,514000
2020,CALIFORNIA,RICE, ACRES PLANTED,ACRE,517000
2020,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8720
2020,LOUISIANA,RICE, ACRES HARVESTED,ACRE,473000
2020,LOUISIANA,RICE, ACRES PLANTED,ACRE,480000
2020,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6820
2020,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,165000
2020,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,166000
2020,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7420
2020,MISSOURI,RICE, ACRES HARVESTED,ACRE,214000
2020,MISSOURI,RICE, ACRES PLANTED,ACRE,228000
2020,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7250
2020,TEXAS,RICE, ACRES HARVESTED,ACRE,179000
2020,TEXAS,RICE, ACRES PLANTED,ACRE,184000
2020,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,8150
2019,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1126000
2019,ARKANSAS,RICE, ACRES PLANTED,ACRE,1161000
2019,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7480
2019,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,501000
2019,CALIFORNIA,RICE, ACRES PLANTED,ACRE,503000
2019,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8460
2019,LOUISIANA,RICE, ACRES HARVESTED,ACRE,414000
2019,LOUISIANA,RICE, ACRES PLANTED,ACRE,425000
2019,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6380
2019,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,113000
2019,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,117000
2019,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7350
2019,MISSOURI,RICE, ACRES HARVESTED,ACRE,173000
2019,MISSOURI,RICE, ACRES PLANTED,ACRE,187000
2019,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7370
2019,TEXAS,RICE, ACRES HARVESTED,ACRE,150000
2019,TEXAS,RICE, ACRES PLANTED,ACRE,157000
2019,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7350
2018,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1422000
2018,ARKANSAS,RICE, ACRES PLANTED,ACRE,1441000
2018,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7520
2018,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,504000
2018,CALIFORNIA,RICE, ACRES PLANTED,ACRE,506000
2018,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8620
2018,LOUISIANA,RICE, ACRES HARVESTED,ACRE,436000
2018,LOUISIANA,RICE, ACRES PLANTED,ACRE,440000
2018,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,7130
2018,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,139000
2018,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,140000
2018,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7350
2018,MISSOURI,RICE, ACRES HARVESTED,ACRE,220000
2018,MISSOURI,RICE, ACRES PLANTED,ACRE,224000
2018,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7770
2018,TEXAS,RICE, ACRES HARVESTED,ACRE,189000
2018,TEXAS,RICE, ACRES PLANTED,ACRE,195000
2018,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7970
2017,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1104000
2017,ARKANSAS,RICE, ACRES PLANTED,ACRE,1161000
2017,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7490
2017,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,443000
2017,CALIFORNIA,RICE, ACRES PLANTED,ACRE,445000
2017,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8410
2017,LOUISIANA,RICE, ACRES HARVESTED,ACRE,395000
2017,LOUISIANA,RICE, ACRES PLANTED,ACRE,400000
2017,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6710
2017,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,114000
2017,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,115000
2017,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7400
2017,MISSOURI,RICE, ACRES HARVESTED,ACRE,160000
2017,MISSOURI,RICE, ACRES PLANTED,ACRE,169000
2017,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7440
2017,TEXAS,RICE, ACRES HARVESTED,ACRE,158000
2017,TEXAS,RICE, ACRES PLANTED,ACRE,173000
2017,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7260
2016,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1521000
2016,ARKANSAS,RICE, ACRES PLANTED,ACRE,1546000
2016,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,6920
2016,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,536000
2016,CALIFORNIA,RICE, ACRES PLANTED,ACRE,541000
2016,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8840
2016,LOUISIANA,RICE, ACRES HARVESTED,ACRE,428000
2016,LOUISIANA,RICE, ACRES PLANTED,ACRE,437000
2016,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6630
2016,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,194000
2016,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,195000
2016,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7180
2016,MISSOURI,RICE, ACRES HARVESTED,ACRE,231000
2016,MISSOURI,RICE, ACRES PLANTED,ACRE,236000
2016,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6650
2016,TEXAS,RICE, ACRES HARVESTED,ACRE,187000
2016,TEXAS,RICE, ACRES PLANTED,ACRE,195000
2016,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7360
2015,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1291000
2015,ARKANSAS,RICE, ACRES PLANTED,ACRE,1311000
2015,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7340
2015,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,426000
2015,CALIFORNIA,RICE, ACRES PLANTED,ACRE,429000
2015,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8890
2015,LOUISIANA,RICE, ACRES HARVESTED,ACRE,415000
2015,LOUISIANA,RICE, ACRES PLANTED,ACRE,420000
2015,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6940
2015,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,149000
2015,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,150000
2015,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7110
2015,MISSOURI,RICE, ACRES HARVESTED,ACRE,174000
2015,MISSOURI,RICE, ACRES PLANTED,ACRE,182000
2015,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7020
2015,TEXAS,RICE, ACRES HARVESTED,ACRE,129000
2015,TEXAS,RICE, ACRES PLANTED,ACRE,133000
2015,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,6900
2014,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1480000
2014,ARKANSAS,RICE, ACRES PLANTED,ACRE,1486000
2014,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7560
2014,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,442000
2014,CALIFORNIA,RICE, ACRES PLANTED,ACRE,445000
2014,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8580
2014,LOUISIANA,RICE, ACRES HARVESTED,ACRE,462000
2014,LOUISIANA,RICE, ACRES PLANTED,ACRE,466000
2014,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,7130
2014,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,190000
2014,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,191000
2014,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7420
2014,MISSOURI,RICE, ACRES HARVESTED,ACRE,213000
2014,MISSOURI,RICE, ACRES PLANTED,ACRE,216000
2014,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6830
2014,TEXAS,RICE, ACRES HARVESTED,ACRE,146000
2014,TEXAS,RICE, ACRES PLANTED,ACRE,150000
2014,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7360
2013,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1064000
2013,ARKANSAS,RICE, ACRES PLANTED,ACRE,1076000
2013,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7560
2013,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,562000
2013,CALIFORNIA,RICE, ACRES PLANTED,ACRE,567000
2013,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8480
2013,LOUISIANA,RICE, ACRES HARVESTED,ACRE,413000
2013,LOUISIANA,RICE, ACRES PLANTED,ACRE,418000
2013,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,7300
2013,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,124000
2013,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,125000
2013,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7400
2013,MISSOURI,RICE, ACRES HARVESTED,ACRE,156000
2013,MISSOURI,RICE, ACRES PLANTED,ACRE,159000
2013,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,7030
2013,TEXAS,RICE, ACRES HARVESTED,ACRE,144000
2013,TEXAS,RICE, ACRES PLANTED,ACRE,145000
2013,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7740
2012,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1285000
2012,ARKANSAS,RICE, ACRES PLANTED,ACRE,1291000
2012,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,7480
2012,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,557000
2012,CALIFORNIA,RICE, ACRES PLANTED,ACRE,562000
2012,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8150
2012,LOUISIANA,RICE, ACRES HARVESTED,ACRE,397000
2012,LOUISIANA,RICE, ACRES PLANTED,ACRE,402000
2012,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6430
2012,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,129000
2012,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,130000
2012,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,7200
2012,MISSOURI,RICE, ACRES HARVESTED,ACRE,177000
2012,MISSOURI,RICE, ACRES PLANTED,ACRE,180000
2012,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6990
2012,TEXAS,RICE, ACRES HARVESTED,ACRE,134000
2012,TEXAS,RICE, ACRES PLANTED,ACRE,135000
2012,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,8370
2011,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1154000
2011,ARKANSAS,RICE, ACRES PLANTED,ACRE,1196000
2011,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,6770
2011,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,580000
2011,CALIFORNIA,RICE, ACRES PLANTED,ACRE,585000
2011,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8350
2011,LOUISIANA,RICE, ACRES HARVESTED,ACRE,418000
2011,LOUISIANA,RICE, ACRES PLANTED,ACRE,423000
2011,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6320
2011,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,157000
2011,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,160000
2011,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,6850
2011,MISSOURI,RICE, ACRES HARVESTED,ACRE,128000
