STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-01,MONTANA,WEST,0,0.5,1,31,-3,14
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-01,MONTANA,WEST,0,0.3,17,29,4,16.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-01,MONTANA,WEST,0,0,0,19,-8,5.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-01,MONTANA,WEST,0,1,1,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-01,MONTANA,WEST,0,0,10,30,14,22
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-02,MONTANA,WEST,0,0,1,29,1,15
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-02,MONTANA,WEST,0,0,14,27,4,15.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-02,MONTANA,WEST,0,0,0,16,-9,3.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-02,MONTANA,WEST,0,0,0.9,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-02,MONTANA,WEST,0,0,10,30,9,19.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-03,MONTANA,WEST,0,0,1.8,41,14,27.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-03,MONTANA,WEST,0.2,5,19,29,4,16.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-03,MONTANA,WEST,0,0,0,30,14,22
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-03,MONTANA,WEST,0,0,0.9,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-03,MONTANA,WEST,0.5,5,15,26,10,18
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-04,MONTANA,WEST,0,0,1.8,55,13,34
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-04,MONTANA,WEST,0,0,17,35,26,30.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-04,MONTANA,WEST,0,0,0,36,16,26
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-04,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-04,MONTANA,WEST,0,0,11,43,9,26
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-05,MONTANA,WEST,0,0,0,51,20,35.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-05,MONTANA,WEST,0,0,16,40,27,33.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-05,MONTANA,WEST,0,0,0,54,16,35
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-05,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-05,MONTANA,WEST,0.5,0,6,43,33,38
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-06,MONTANA,WEST,0,0,0,45,17,31
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-06,MONTANA,WEST,0.2,1.5,17,38,24,31
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-06,MONTANA,WEST,0,0,0,49,34,41.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-06,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-06,MONTANA,WEST,0,0,6,39,26,32.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-07,MONTANA,WEST,0,0,0,40,6,23
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-07,MONTANA,WEST,0.1,0.1,16,31,20,25.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-07,MONTANA,WEST,0,0,0,42,16,29
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-07,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-07,MONTANA,WEST,0.3,3.5,10,31,21,26
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-08,MONTANA,WEST,0,0,0,38,1,19.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-08,MONTANA,WEST,0.1,1,17,27,15,21
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-08,MONTANA,WEST,0,0,0,36,0,18
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-08,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-08,MONTANA,WEST,0.1,1.5,10,29,19,24
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-09,MONTANA,WEST,0,0,0,41,12,26.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-09,MONTANA,WEST,0.4,6,23,27,16,21.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-09,MONTANA,WEST,0,0,0,29,1,15
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-09,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-09,MONTANA,WEST,0.3,8.3,18,26,21,23.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-10,MONTANA,WEST,0,0,0,41,5,23
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-10,MONTANA,WEST,0,0.1,21,31,11,21
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-10,MONTANA,WEST,0,0,0,34,8,21
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-10,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-10,MONTANA,WEST,0.1,1,18,31,24,27.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-11,MONTANA,WEST,0,0,0,40,20,30
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-11,MONTANA,WEST,0.1,0.8,21,30,17,23.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-11,MONTANA,WEST,0,0,0,32,10,21
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-11,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-11,MONTANA,WEST,0.2,1.9,18,33,19,26
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-12,MONTANA,WEST,0,0,0,42,8,25
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-12,MONTANA,WEST,0.2,0.5,20,33,29,31
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-12,MONTANA,WEST,0,0,0,38,7,22.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-12,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-12,MONTANA,WEST,0,0,18,37,30,33.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-13,MONTANA,WEST,0,0,0,47,4,25.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-13,MONTANA,WEST,0,0.8,20,36,30,33
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-13,MONTANA,WEST,0,0,0,41,5,23
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-13,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-13,MONTANA,WEST,0,0,14,37,30,33.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-14,MONTANA,WEST,0,0,0,55,6,30.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-14,MONTANA,WEST,0,0,18,37,18,27.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-14,MONTANA,WEST,0,0,0,45,9,27
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-14,MONTANA,WEST,0,0,0,55.1,33.9,44.5
