STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-01,NEVADA,WEST,0,0,0,56,33,44.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-02,NEVADA,WEST,0,0,0,57,34,45.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-03,NEVADA,WEST,0,0,0,62,33,47.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-04,NEVADA,WEST,0,0,0,58,32,45
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-05,NEVADA,WEST,0,0,0,60,33,46.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-06,NEVADA,WEST,0,0,0,62,35,48.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-07,NEVADA,WEST,0,0,0,64,36,50
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-08,NEVADA,WEST,0,0,0,58,33,45.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-09,NEVADA,WEST,0,0,0,52,35,43.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-10,NEVADA,WEST,0,0,0,60,35,47.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-11,NEVADA,WEST,0,0,0,62,36,49
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-12,NEVADA,WEST,0,0,0,65,38,51.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-13,NEVADA,WEST,0,0,0,64,42,53
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-14,NEVADA,WEST,0,0,0,59,38,48.5
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-15,NEVADA,WEST,0,0,0,66,32,49
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-16,NEVADA,WEST,0,0,0,60,34,47
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-17,NEVADA,WEST,0,0,0,45,23,34
USC00265846,"OVERTON, NV US",36.5508,-114.458,381,2008-01-18,NEVADA,WEST,0,0,0,48,23,35.5
