STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-01,NEW MEXICO,WEST,0,0,0,35,0,17.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-02,NEW MEXICO,WEST,0,0,0,32,0,16
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-03,NEW MEXICO,WEST,0,0,0,38,4,21
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-04,NEW MEXICO,WEST,0,0,0,48,11,29.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-05,NEW MEXICO,WEST,0,0,0,50,27,38.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-06,NEW MEXICO,WEST,0,0,0,57,33,45
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-07,NEW MEXICO,WEST,0.3,0,0,54,32,43
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-08,NEW MEXICO,WEST,0.1,0,0,44,24,34
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-09,NEW MEXICO,WEST,0,0,0,39,19,29
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-10,NEW MEXICO,WEST,0,0,0,45,18,31.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-11,NEW MEXICO,WEST,0,0,0,40,19,29.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-12,NEW MEXICO,WEST,0,0,0,47,16,31.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-13,NEW MEXICO,WEST,0,0,0,40,12,26
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-14,NEW MEXICO,WEST,0,0,0,39,9,24
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-15,NEW MEXICO,WEST,0,0,0,41,7,24
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-16,NEW MEXICO,WEST,0,0,0,42,7,24.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-17,NEW MEXICO,WEST,0,0,0,27,-3,12
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-18,NEW MEXICO,WEST,0,0,0,29,2,15.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-19,NEW MEXICO,WEST,0,0,0,34,-1,16.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-20,NEW MEXICO,WEST,0,0,0,37,-1,18
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-21,NEW MEXICO,WEST,0,0,0,48,4,26
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-22,NEW MEXICO,WEST,0,0,0,47,9,28
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-23,NEW MEXICO,WEST,0,0,0,48,8,28
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-24,NEW MEXICO,WEST,0,0,0,49,12,30.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-25,NEW MEXICO,WEST,0,0,0,30,14,22
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-26,NEW MEXICO,WEST,0,0,0,44,16,30
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-27,NEW MEXICO,WEST,0,0,0,49,11,30
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-28,NEW MEXICO,WEST,0.1,0,0,56,12,34
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-29,NEW MEXICO,WEST,0,0,0,51,17,34
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-30,NEW MEXICO,WEST,0,0,0,34,16,25
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-01-31,NEW MEXICO,WEST,0,0,0,39,10,24.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-01,NEW MEXICO,WEST,0,0,0,32,10,21
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-02,NEW MEXICO,WEST,0,0,0,49,10,29.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-03,NEW MEXICO,WEST,0,0,0,49,13,31
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-04,NEW MEXICO,WEST,0,0,0,52,18,35
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-05,NEW MEXICO,WEST,0,0,0,49,20,34.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-06,NEW MEXICO,WEST,0,0,0,49,19,34
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-07,NEW MEXICO,WEST,0,0,0,40,18,29
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-08,NEW MEXICO,WEST,0,0,0,46,25,35.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-09,NEW MEXICO,WEST,0,0,0,47,26,36.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-10,NEW MEXICO,WEST,0,0,0,55,16,35.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-11,NEW MEXICO,WEST,0,0,0,62,18,40
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-12,NEW MEXICO,WEST,0,0,0,56,13,34.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-13,NEW MEXICO,WEST,0,0,0,52,13,32.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-14,NEW MEXICO,WEST,0,0,0,61,13,37
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-15,NEW MEXICO,WEST,0,0,0,61,26,43.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-16,NEW MEXICO,WEST,0.1,1.3,1,44,26,35
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-17,NEW MEXICO,WEST,0,0,0,49,28,38.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-18,NEW MEXICO,WEST,0,0,0,46,27,36.5
USC00295908,"MORIARTY 1 NE, NM US",35.0128,-106.045,1895.9,2008-02-19,NEW MEXICO,WEST,0,0,0,52,18,35
