STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-01,OKLAHOMA,SOUTH,0.0,0.0,0.0,43.0,18.0,30.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-02,OKLAHOMA,SOUTH,0.0,0.0,0.0,34.0,17.0,25.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-03,OKLAHOMA,SOUTH,0.0,0.0,0.0,38.0,28.0,33.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-04,OKLAHOMA,SOUTH,0.0,0.0,0.0,56.0,51.0,53.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-05,OKLAHOMA,SOUTH,0.0,0.0,0.0,73.0,56.0,64.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-06,OKLAHOMA,SOUTH,0.0,0.0,0.0,73.0,59.0,66.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-07,OKLAHOMA,SOUTH,0.0,0.0,0.0,74.0,52.0,63.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-08,OKLAHOMA,SOUTH,0.0,0.0,0.0,55.0,28.0,41.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-09,OKLAHOMA,SOUTH,0.0,0.0,0.0,56.0,40.0,48.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-10,OKLAHOMA,SOUTH,0.0,0.0,0.0,54.0,26.0,40.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-11,OKLAHOMA,SOUTH,0.0,0.0,0.0,60.0,30.0,45.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-12,OKLAHOMA,SOUTH,0.0,0.0,0.0,53.0,28.0,40.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-13,OKLAHOMA,SOUTH,0.0,0.0,0.0,52.0,29.0,40.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-14,OKLAHOMA,SOUTH,0.0,0.0,0.0,60.0,25.0,42.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-15,OKLAHOMA,SOUTH,0.0,0.0,0.0,63.0,43.0,53.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-16,OKLAHOMA,SOUTH,0.0,0.0,0.0,47.0,21.0,34.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-17,OKLAHOMA,SOUTH,0.0,0.0,0.0,37.0,16.0,26.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-18,OKLAHOMA,SOUTH,0.0,0.0,0.0,48.0,15.0,31.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-19,OKLAHOMA,SOUTH,0.0,0.0,0.0,34.0,14.0,24.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-20,OKLAHOMA,SOUTH,0.0,0.0,0.0,46.0,33.0,39.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-21,OKLAHOMA,SOUTH,0.0,0.0,0.0,36.0,24.0,30.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-22,OKLAHOMA,SOUTH,0.0,0.0,0.0,28.0,15.0,21.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-23,OKLAHOMA,SOUTH,0.0,0.0,0.0,41.0,18.0,29.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-24,OKLAHOMA,SOUTH,0.0,0.0,0.0,35.0,26.0,30.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-25,OKLAHOMA,SOUTH,0.0,0.0,0.0,33.0,33.0,33.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-26,OKLAHOMA,SOUTH,0.0,0.0,0.0,42.0,29.0,35.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-27,OKLAHOMA,SOUTH,0.0,0.0,0.0,62.0,42.0,52.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-28,OKLAHOMA,SOUTH,0.0,0.0,0.0,59.0,59.0,59.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-29,OKLAHOMA,SOUTH,0.0,0.0,0.0,67.0,23.0,45.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-30,OKLAHOMA,SOUTH,0.0,0.0,0.0,50.0,37.0,43.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-01-31,OKLAHOMA,SOUTH,0.0,0.0,0.0,47.0,17.0,32.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-01,OKLAHOMA,SOUTH,0.0,0.0,0.0,51.0,37.0,44.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-02,OKLAHOMA,SOUTH,0.0,0.0,0.0,62.0,40.0,51.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-03,OKLAHOMA,SOUTH,0.0,0.0,0.0,74.0,58.0,66.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-04,OKLAHOMA,SOUTH,0.0,0.0,0.0,79.0,63.0,71.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-05,OKLAHOMA,SOUTH,0.0,0.0,0.0,69.0,29.0,49.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-06,OKLAHOMA,SOUTH,0.7,0.0,0.0,48.0,27.0,37.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-07,OKLAHOMA,SOUTH,0.0,0.0,0.0,50.0,32.0,41.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-08,OKLAHOMA,SOUTH,0.0,0.0,0.0,65.0,22.0,43.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-09,OKLAHOMA,SOUTH,0.0,0.0,0.0,65.0,34.0,49.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-10,OKLAHOMA,SOUTH,0.0,0.0,0.0,55.0,30.0,42.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-11,OKLAHOMA,SOUTH,0.0,0.0,0.0,61.0,25.0,43.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-12,OKLAHOMA,SOUTH,0.6,0.0,0.0,63.0,20.0,41.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-13,OKLAHOMA,SOUTH,0.0,0.0,0.0,45.0,21.0,33.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-14,OKLAHOMA,SOUTH,0.0,0.0,0.0,67.0,34.0,50.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-15,OKLAHOMA,SOUTH,0.0,0.0,0.0,36.0,30.0,33.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-16,OKLAHOMA,SOUTH,0.0,0.0,0.0,52.0,37.0,44.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-17,OKLAHOMA,SOUTH,2.0,0.0,0.0,51.0,29.0,40.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-18,OKLAHOMA,SOUTH,0.0,0.0,0.0,54.0,28.0,41.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-19,OKLAHOMA,SOUTH,0.0,0.0,0.0,63.0,37.0,50.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-20,OKLAHOMA,SOUTH,0.0,0.0,0.0,68.0,34.0,51.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-21,OKLAHOMA,SOUTH,0.0,0.0,0.0,34.0,29.0,31.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-22,OKLAHOMA,SOUTH,0.0,0.0,0.0,39.0,22.0,30.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-23,OKLAHOMA,SOUTH,0.0,0.0,0.0,51.0,28.0,39.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-24,OKLAHOMA,SOUTH,0.2,0.0,0.0,53.0,32.6,42.8
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-25,OKLAHOMA,SOUTH,0.0,0.0,0.0,78.0,33.0,55.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-26,OKLAHOMA,SOUTH,0.0,0.0,0.0,47.0,24.0,35.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-27,OKLAHOMA,SOUTH,0.0,0.0,0.0,61.0,33.0,47.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-28,OKLAHOMA,SOUTH,0.0,0.0,0.0,68.0,41.0,54.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-02-29,OKLAHOMA,SOUTH,0.0,0.0,0.0,66.0,35.0,50.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-01,OKLAHOMA,SOUTH,0.0,0.0,0.0,72.0,36.0,54.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-02,OKLAHOMA,SOUTH,0.0,0.0,0.0,74.0,42.0,58.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-03,OKLAHOMA,SOUTH,1.8,0.0,0.0,46.0,25.0,35.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-04,OKLAHOMA,SOUTH,3.0,0.0,0.0,52.0,34.0,43.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-05,OKLAHOMA,SOUTH,0.0,0.0,0.0,61.0,32.0,46.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-06,OKLAHOMA,SOUTH,0.0,0.0,0.0,36.0,29.0,32.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-07,OKLAHOMA,SOUTH,5.0,0.0,0.0,48.0,18.0,33.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-08,OKLAHOMA,SOUTH,0.0,0.0,0.0,49.0,32.0,40.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-09,OKLAHOMA,SOUTH,0.0,0.0,0.0,64.0,34.0,49.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-10,OKLAHOMA,SOUTH,0.0,0.0,0.0,66.0,40.0,53.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-11,OKLAHOMA,SOUTH,0.0,0.0,0.0,70.0,48.0,59.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-12,OKLAHOMA,SOUTH,0.0,0.0,0.0,76.0,53.0,64.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-13,OKLAHOMA,SOUTH,0.0,0.0,0.0,68.0,41.0,54.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-14,OKLAHOMA,SOUTH,0.0,0.0,0.0,78.0,44.0,61.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-15,OKLAHOMA,SOUTH,0.0,0.0,0.0,64.0,35.0,49.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-16,OKLAHOMA,SOUTH,0.0,0.0,0.0,71.0,48.0,59.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-17,OKLAHOMA,SOUTH,0.0,0.0,0.0,68.0,51.0,59.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-18,OKLAHOMA,SOUTH,1.5,0.0,0.0,66.0,44.0,55.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-19,OKLAHOMA,SOUTH,1.8,0.0,0.0,62.0,42.0,52.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-20,OKLAHOMA,SOUTH,0.0,0.0,0.0,73.0,41.0,57.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-21,OKLAHOMA,SOUTH,0.0,0.0,0.0,75.0,38.0,56.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-22,OKLAHOMA,SOUTH,0.0,0.0,0.0,69.0,43.0,56.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-23,OKLAHOMA,SOUTH,0.0,0.0,0.0,55.0,30.0,42.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-24,OKLAHOMA,SOUTH,0.0,0.0,0.0,69.0,34.0,51.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-25,OKLAHOMA,SOUTH,0.0,0.0,0.0,74.0,38.0,56.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-26,OKLAHOMA,SOUTH,0.0,0.0,0.0,74.0,65.0,69.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-27,OKLAHOMA,SOUTH,0.0,0.0,0.0,82.0,40.0,61.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-28,OKLAHOMA,SOUTH,0.0,0.0,0.0,50.0,47.0,48.5
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-29,OKLAHOMA,SOUTH,0.0,0.0,0.0,69.0,57.0,63.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-30,OKLAHOMA,SOUTH,0.0,0.0,0.0,65.0,73.0,69.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-03-31,OKLAHOMA,SOUTH,0.0,0.0,0.0,82.0,62.0,72.0
USC00342011,"COLEMAN 4 W, OK US",34.27627,-96.49483,227.7,2008-04-01,OKLAHOMA,SOUTH,1.2,0.0,0.0,63.0,28.0,45.5
