iter	Passed	Remaining
0	19	1922
1	35	1715
2	58	1898
3	71	1705
4	81	1554
5	89	1409
6	97	1300
7	106	1221
8	114	1153
9	122	1100
10	130	1057
11	139	1021
12	148	992
13	157	965
14	165	938
15	174	916
16	183	895
17	192	877
18	201	857
19	210	841
20	219	824
21	228	810
22	238	797
23	246	781
24	256	768
25	265	754
26	274	743
27	284	731
28	294	720
29	304	710
30	314	699
31	325	690
32	334	679
33	344	668
34	354	658
35	364	647
36	374	637
37	384	627
38	395	618
39	405	607
40	414	596
41	424	586
42	434	575
43	443	565
44	453	554
45	463	544
46	474	534
47	484	524
48	494	514
49	504	504
50	514	494
51	525	484
52	535	475
53	545	465
54	556	455
55	566	445
56	576	434
57	586	424
58	596	414
59	607	404
60	618	395
61	628	384
62	638	375
63	649	365
64	659	355
65	670	345
66	680	335
67	690	325
68	702	315
69	712	305
70	723	295
71	734	285
72	744	275
73	755	265
74	765	255
75	775	244
76	785	234
77	796	224
78	806	214
79	817	204
80	828	194
81	839	184
82	849	173
83	859	163
84	870	153
85	880	143
86	891	133
87	902	123
88	912	112
89	922	102
90	933	92
91	944	82
92	954	71
93	965	61
94	975	51
95	985	41
96	996	30
97	1006	20
98	1017	10
99	1029	0
